name,roll_no,father_name,dob,phone_no,email,branch,qualification
Aayushi Kalia,11223344,Father 1,25/01/95,123456789,aayushi@yopmail.com,B.tech,CSE
Akash Kukker,11223345,Father 2,20/02/94,123451234,akash@yopmail.com,B.tech,CSE
Amit Dogra,11223346,Father 3,15/03/90,123412345,amit@yopmail.com,MCA,CSE
Daljit Singh,11223347,Father 4,10/10/88,123456712,daljit@yopmail.com,B.tech,CSE
Dharam Punit,11223348,Father 5,12/03/90,123452345,dharam@yopmail.com,MCA,CSE
Gurpreet Singh,11223349,Father 6,05/05/88,234523456,gurpreet@yopmail.com,MCA,CSE
Harpartap Singh,11223350,Father 7,02/07/90,123123123,harpartap@yopmqil.com,B.tech,CSE
Lakhwinder Singh,11223351,Father 8,11/12/90,121314156,lakhwinder@yopmail.com,B.tech,CSE
Narinder Singh,11223352,Father 9,06/07/92,112233445,narinder@yopmail.com,MCA,CSE
Parteek Arora,11223353,Father 10,10/10/94,554466778,parteek@yopmail.com,B.tech,CSE
Ravinder Bhatia,11223354,Father 11,30/01/94,121314151,ravinder@yopmail.com,MCA,CSE
Sadaf Farooqui,11223355,Father 12,05/04/94,222324256,sadaf@yopmail.com,MCA,CSE
Shubham Singla,11223356,Father 13,07/05/94,234234256,shubham@yopmail.com,MCA,CSE
Vishal Sharma,11223357,Father 14,01/01/93,556677889,vishal@yopmail.com,MCA,CSE
Shilpa Vasisth,11223358,Father 15,02/03/94,123123123,shilpa@yopmail.com,MCA,CSE
Naresh Sharma,11223359,Father 16,11/07/90,212223242,naresh@yopmail.com,MCA,CSE
Sumit Kumar,11223360,Father 17,15/12/90,234323456,sumit@yopmail.com,MCA,CSE
Harmeet Singh,11223361,Father 18,24/08/90,322342345,harmeet@yopmail.com,MCA,CSE
Honey Nischal,11223362,Father 19,08/04/90,435365656,honey@yopmail.com,MCA,CSE
Hari Om,11223363,Father 20,05/12/93,234343434,hari@yopmail.com,B.tech,CSE
